"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp1","shift_removed","2 squares",46,36,1,NA,36,36
"exp1","shift_removed","2 squares",47,36,1,NA,36,36
"exp1","shift_removed","2 squares",48,35,1,NA,35,35
"exp1","shift_removed","2 squares",49,35,1,NA,35,35
"exp1","shift_removed","6 squares",0,19,1,NA,19,19
"exp1","shift_removed","6 squares",1,17,1,NA,17,17
"exp1","shift_removed","6 squares",2,16,1,NA,16,16
"exp1","shift_removed","6 squares",4,15,1,NA,15,15
"exp1","shift_removed","6 squares",7,15.75,4,1.25830573921179,14,17
"exp1","shift_removed","6 squares",8,19.25,4,3.30403793359983,16,23
"exp1","shift_removed","6 squares",9,16,4,1.82574185835055,14,18
"exp1","shift_removed","6 squares",10,16,5,2.34520787991171,14,19
"exp1","shift_removed","6 squares",11,18.4545454545455,11,4.67682876239095,14,30
"exp1","shift_removed","6 squares",12,17.5714285714286,7,2.93582145558064,15,21
"exp1","shift_removed","6 squares",13,17.4444444444444,18,4.2039508339631,14,33
"exp1","shift_removed","6 squares",14,18.3181818181818,22,2.49545040569287,14,23
"exp1","shift_removed","6 squares",15,18.7407407407407,27,4.04391844048274,14,33
"exp1","shift_removed","6 squares",16,18.5555555555556,27,2.95261726574047,14,25
"exp1","shift_removed","6 squares",17,19.7931034482759,29,3.45769649110944,14,27
"exp1","shift_removed","6 squares",18,18.9545454545455,44,4.2423915230793,14,33
"exp1","shift_removed","6 squares",19,20.925,40,4.75765240536301,14,35
"exp1","shift_removed","6 squares",20,21.7894736842105,38,4.5687415899244,14,33
"exp1","shift_removed","6 squares",21,22.5294117647059,51,5.55824771371867,14,36
"exp1","shift_removed","6 squares",22,21.8653846153846,52,4.88305933576702,14,33
"exp1","shift_removed","6 squares",23,22.4285714285714,42,4.64937896268695,14,36
"exp1","shift_removed","6 squares",24,24.3396226415094,53,5.80100586843621,14,36
"exp1","shift_removed","6 squares",25,25.1111111111111,36,5.8980760920237,14,36
"exp1","shift_removed","6 squares",26,27.1764705882353,51,4.68916147025432,15,36
"exp1","shift_removed","6 squares",27,26.7755102040816,49,4.52431074917518,17,35
"exp1","shift_removed","6 squares",28,26.4418604651163,43,4.99667663638922,15,35
"exp1","shift_removed","6 squares",29,28.469387755102,49,5.35841254794866,17,36
"exp1","shift_removed","6 squares",30,30.4,55,4.43304092602943,19,36
"exp1","shift_removed","6 squares",31,30.1666666666667,30,4.84293536902009,15,36
"exp1","shift_removed","6 squares",32,30.4358974358974,39,4.21647690173775,18,36
"exp1","shift_removed","6 squares",33,31.2820512820513,39,4.59375272544835,14,36
"exp1","shift_removed","6 squares",34,30.2285714285714,35,5.02982700138539,16,36
"exp1","shift_removed","6 squares",35,32.4166666666667,24,3.20212791568447,23,36
"exp1","shift_removed","6 squares",36,31.3461538461538,26,4.18513854195827,22,36
"exp1","shift_removed","6 squares",37,32.9285714285714,14,2.8946711176092,28,36
"exp1","shift_removed","6 squares",38,33,11,2.75680975041804,27,36
"exp1","shift_removed","6 squares",39,33.6,5,2.50998007960223,30,36
"exp1","shift_removed","6 squares",40,34.2222222222222,9,2.10818510677892,30,36
"exp1","shift_removed","6 squares",41,34.5714285714286,7,1.81265393434993,32,36
"exp1","shift_removed","6 squares",42,35.75,4,0.5,35,36
"exp1","shift_removed","6 squares",43,30.75,4,3.77491721763537,27,34
"exp1","shift_removed","6 squares",44,36,1,NA,36,36
"exp1","shift_removed","6 squares",45,35,1,NA,35,35
"exp1","shift_removed","6 squares",46,32.5,2,3.53553390593274,30,35
"exp1","shift_removed","6 squares",47,33.6,5,3.286335345031,28,36
"exp1","shift_removed","6 squares",48,35,1,NA,35,35
"exp1","shift_removed","6 squares",49,36,1,NA,36,36
"exp1","shift_removed","6 squares",50,36,1,NA,36,36
"exp1","shift_removed","6 squares",51,28,1,NA,28,28
"exp1","shift_removed","8 squares",1,19,1,NA,19,19
"exp1","shift_removed","8 squares",2,17,1,NA,17,17
"exp1","shift_removed","8 squares",6,17,1,NA,17,17
"exp1","shift_removed","8 squares",7,14,1,NA,14,14
"exp1","shift_removed","8 squares",8,14.25,4,0.5,14,15
"exp1","shift_removed","8 squares",9,17.5,2,3.53553390593274,15,20
"exp1","shift_removed","8 squares",10,16.6,10,3.16929715306792,14,24
"exp1","shift_removed","8 squares",11,17.5,8,4.53557367611073,14,26
"exp1","shift_removed","8 squares",12,19.5833333333333,12,6.0821397749825,14,35
"exp1","shift_removed","8 squares",13,17.8235294117647,17,3.82810811821008,14,25
"exp1","shift_removed","8 squares",14,18.5384615384615,13,2.87562702192596,15,25
"exp1","shift_removed","8 squares",15,18.1666666666667,24,4.80639670391056,14,33
"exp1","shift_removed","8 squares",16,19.4137931034483,29,4.49219355723515,14,30
"exp1","shift_removed","8 squares",17,18.9310344827586,29,3.91819049419097,14,28
"exp1","shift_removed","8 squares",18,19.9736842105263,38,5.20128280489541,14,32
"exp1","shift_removed","8 squares",19,20.9591836734694,49,4.73004221119938,14,36
"exp1","shift_removed","8 squares",20,20.8666666666667,45,4.50050502216645,14,34
"exp1","shift_removed","8 squares",21,22.2631578947368,38,4.36623537842394,14,33
"exp1","shift_removed","8 squares",22,21.9591836734694,49,4.31064179131846,14,36
"exp1","shift_removed","8 squares",23,24.4313725490196,51,5.54348230613496,14,36
"exp1","shift_removed","8 squares",24,25.0188679245283,53,5.37977182114681,14,36
"exp1","shift_removed","8 squares",25,24.74,50,5.53213248177575,15,36
"exp1","shift_removed","8 squares",26,25.7627118644068,59,5.63957378877116,14,36
"exp1","shift_removed","8 squares",27,26.5,42,5.83617816809563,17,36
"exp1","shift_removed","8 squares",28,28.0689655172414,58,4.66740120396673,16,36
"exp1","shift_removed","8 squares",29,28.6086956521739,46,4.61629125245973,17,36
"exp1","shift_removed","8 squares",30,29.6046511627907,43,4.11234804254629,20,36
"exp1","shift_removed","8 squares",31,31.0322580645161,31,4.74330314561307,19,36
"exp1","shift_removed","8 squares",32,30.2222222222222,27,4.33530527124351,19,36
"exp1","shift_removed","8 squares",33,28.2068965517241,29,6.40523954244173,14,36
"exp1","shift_removed","8 squares",34,31.78125,32,3.9491475192796,23,36
"exp1","shift_removed","8 squares",35,31.1,20,5.26057831521652,14,36
"exp1","shift_removed","8 squares",36,31.0833333333333,24,3.43785406608689,24,36
"exp1","shift_removed","8 squares",37,33.8666666666667,15,1.55226409142382,31,36
"exp1","shift_removed","8 squares",38,33.7,10,1.70293863659264,31,36
"exp1","shift_removed","8 squares",39,32.1,10,4.70106370941726,22,36
"exp1","shift_removed","8 squares",40,34.6666666666667,6,1.50554530541816,32,36
"exp1","shift_removed","8 squares",41,33.4285714285714,7,2.93582145558064,28,36
"exp1","shift_removed","8 squares",42,32.8,5,3.3466401061363,27,35
"exp1","shift_removed","8 squares",43,34.6666666666667,3,1.52752523165195,33,36
"exp1","shift_removed","8 squares",44,29,1,NA,29,29
"exp1","shift_removed","8 squares",48,35,1,NA,35,35
"exp1","shift_removed","8 squares",49,29.5,4,3.1091263510296,25,32
"exp1","shift_removed","8 squares",51,32,1,NA,32,32
