"participant_id","condition","array_length","side","n_trials","inward"
"experience.60a2a8570a0f9cc00d6b9d1a","experience","10","low",5,6.2
"experience.60a2a8570a0f9cc00d6b9d1a","experience","20","high",6,-2
"experience.60a2a8570a0f9cc00d6b9d1a","experience","20","low",12,5.08333333333333
"experience.60bd80a54df9675c7f842774","experience","2","high",10,6.2
"experience.60bd80a54df9675c7f842774","experience","2","low",8,-6.625
"experience.60bd80a54df9675c7f842774","experience","10","high",9,5.88888888888889
"experience.60bd80a54df9675c7f842774","experience","10","low",9,-4.11111111111111
"experience.60bd80a54df9675c7f842774","experience","20","high",6,4.33333333333333
"experience.60bd80a54df9675c7f842774","experience","20","low",9,-5.55555555555556
"experience.612517df29cd32c6632b4a44","experience","2","high",4,2.5
"experience.612517df29cd32c6632b4a44","experience","2","low",15,-7.66666666666667
"experience.612517df29cd32c6632b4a44","experience","10","high",7,-1.14285714285714
"experience.612517df29cd32c6632b4a44","experience","10","low",7,-3.57142857142857
"experience.612517df29cd32c6632b4a44","experience","20","high",8,-1.5
"experience.612517df29cd32c6632b4a44","experience","20","low",10,-3.7
"experience.615dd5ed4fd5b2c64eee7e99","experience","2","high",9,0.111111111111111
"experience.615dd5ed4fd5b2c64eee7e99","experience","2","low",7,-1.57142857142857
"experience.615dd5ed4fd5b2c64eee7e99","experience","10","high",8,-1
"experience.615dd5ed4fd5b2c64eee7e99","experience","10","low",8,-2.25
"experience.615dd5ed4fd5b2c64eee7e99","experience","20","high",9,-0.666666666666667
"experience.615dd5ed4fd5b2c64eee7e99","experience","20","low",9,-6
"experience.62b146e365eca239ef0dbbfb","experience","2","high",6,8.5
"experience.62b146e365eca239ef0dbbfb","experience","2","low",13,-4.30769230769231
"experience.62b146e365eca239ef0dbbfb","experience","10","high",9,10
"experience.62b146e365eca239ef0dbbfb","experience","10","low",8,0
"experience.62b146e365eca239ef0dbbfb","experience","20","high",5,2.4
"experience.62b146e365eca239ef0dbbfb","experience","20","low",8,1
"experience.641dfbd1cf0e57384c37a037","experience","2","high",7,9.28571428571429
"experience.641dfbd1cf0e57384c37a037","experience","2","low",8,-3.75
"experience.641dfbd1cf0e57384c37a037","experience","10","high",10,6.7
"experience.641dfbd1cf0e57384c37a037","experience","10","low",6,-0.5
"experience.641dfbd1cf0e57384c37a037","experience","20","high",5,1
"experience.641dfbd1cf0e57384c37a037","experience","20","low",9,-4.33333333333333
"experience.64f9db6943940e98c173b596","experience","2","high",8,1.75
"experience.64f9db6943940e98c173b596","experience","2","low",5,-9.4
"experience.64f9db6943940e98c173b596","experience","10","high",6,0.166666666666667
"experience.64f9db6943940e98c173b596","experience","10","low",6,3.83333333333333
"experience.64f9db6943940e98c173b596","experience","20","high",6,2.66666666666667
"experience.64f9db6943940e98c173b596","experience","20","low",8,-5.25
"experience.65465ac216a26bebcc8d8b02","experience","2","high",8,2
"experience.65465ac216a26bebcc8d8b02","experience","2","low",9,-1.11111111111111
"experience.65465ac216a26bebcc8d8b02","experience","10","high",11,1.09090909090909
"experience.65465ac216a26bebcc8d8b02","experience","10","low",9,2.66666666666667
"experience.65465ac216a26bebcc8d8b02","experience","20","high",7,1
