"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"experience.5ef4d8b87faaa00c0dea0c4e","experience","20",2,8,6,-1.625,4.33333333333333,1.35416666666667
"experience.60a2a8570a0f9cc00d6b9d1a","experience","2",2,9,9,9.88888888888889,-6.44444444444444,1.72222222222222
"experience.60a2a8570a0f9cc00d6b9d1a","experience","10",2,5,10,6.2,-4,1.1
"experience.60a2a8570a0f9cc00d6b9d1a","experience","20",2,12,6,5.08333333333333,-2,1.54166666666667
"experience.60bd80a54df9675c7f842774","experience","2",2,8,10,-6.625,6.2,-0.2125
"experience.60bd80a54df9675c7f842774","experience","10",2,9,9,-4.11111111111111,5.88888888888889,0.888888888888889
"experience.60bd80a54df9675c7f842774","experience","20",2,9,6,-5.55555555555556,4.33333333333333,-0.611111111111111
"experience.612517df29cd32c6632b4a44","experience","2",2,15,4,-7.66666666666667,2.5,-2.58333333333333
"experience.612517df29cd32c6632b4a44","experience","10",2,7,7,-3.57142857142857,-1.14285714285714,-2.35714285714286
"experience.612517df29cd32c6632b4a44","experience","20",2,10,8,-3.7,-1.5,-2.6
"experience.615dd5ed4fd5b2c64eee7e99","experience","2",2,7,9,-1.57142857142857,0.111111111111111,-0.73015873015873
"experience.615dd5ed4fd5b2c64eee7e99","experience","10",2,8,8,-2.25,-1,-1.625
"experience.615dd5ed4fd5b2c64eee7e99","experience","20",2,9,9,-6,-0.666666666666667,-3.33333333333333
"experience.62b146e365eca239ef0dbbfb","experience","2",2,13,6,-4.30769230769231,8.5,2.09615384615385
"experience.62b146e365eca239ef0dbbfb","experience","10",2,8,9,0,10,5
"experience.62b146e365eca239ef0dbbfb","experience","20",2,8,5,1,2.4,1.7
"experience.641dfbd1cf0e57384c37a037","experience","2",2,8,7,-3.75,9.28571428571429,2.76785714285714
"experience.641dfbd1cf0e57384c37a037","experience","10",2,6,10,-0.5,6.7,3.1
"experience.641dfbd1cf0e57384c37a037","experience","20",2,9,5,-4.33333333333333,1,-1.66666666666667
"experience.64f9db6943940e98c173b596","experience","2",2,5,8,-9.4,1.75,-3.825
"experience.64f9db6943940e98c173b596","experience","10",2,6,6,3.83333333333333,0.166666666666667,2
"experience.64f9db6943940e98c173b596","experience","20",2,8,6,-5.25,2.66666666666667,-1.29166666666667
"experience.65465ac216a26bebcc8d8b02","experience","2",2,9,8,-1.11111111111111,2,0.444444444444444
"experience.65465ac216a26bebcc8d8b02","experience","10",2,9,11,2.66666666666667,1.09090909090909,1.87878787878788
"experience.65465ac216a26bebcc8d8b02","experience","20",2,6,7,-2.83333333333333,1,-0.916666666666667
"experience.656a02c7b6729e5b80412a8f","experience","2",2,5,9,-0.2,4.66666666666667,2.23333333333333
"experience.656a02c7b6729e5b80412a8f","experience","10",2,9,9,1.88888888888889,3,2.44444444444444
"experience.656a02c7b6729e5b80412a8f","experience","20",2,8,7,-0.375,0.142857142857143,-0.116071428571429
"experience.657f8d99678be2d216a85c3d","experience","2",2,8,4,-3.5,4,0.25
"experience.657f8d99678be2d216a85c3d","experience","10",2,9,9,-2.44444444444444,4.33333333333333,0.944444444444444
"experience.657f8d99678be2d216a85c3d","experience","20",2,6,7,-1.83333333333333,7.14285714285714,2.6547619047619
"experience.65fb1a5882c2d4825dab5e81","experience","2",2,4,5,-2.25,-0.2,-1.225
"experience.65fb1a5882c2d4825dab5e81","experience","10",2,6,11,0.833333333333333,3.81818181818182,2.32575757575758
"experience.65fb1a5882c2d4825dab5e81","experience","20",2,10,4,-0.799999999999999,2.5,0.85
"experience.6643b0fe98e091c70e7988e4","experience","2",2,7,11,-1.42857142857143,1.09090909090909,-0.168831168831169
"experience.6643b0fe98e091c70e7988e4","experience","10",2,6,8,1.5,-0.375,0.5625
"experience.6643b0fe98e091c70e7988e4","experience","20",2,5,11,5.8,2.45454545454545,4.12727272727273
"experience.66562875b665d8e2b1b6fc66","experience","2",2,10,8,-2.4,3.125,0.3625
"experience.66562875b665d8e2b1b6fc66","experience","10",2,8,6,2.25,2.83333333333333,2.54166666666667
"experience.66562875b665d8e2b1b6fc66","experience","20",2,7,8,0.285714285714286,2.875,1.58035714285714
"experience.6667a6558073abc1cd0e6daf","experience","2",2,8,7,1,1.14285714285714,1.07142857142857
