"participant_id","condition","array_length","n_trials","r","z"
"average.67f15a6eb321af2595c63b9b","average","10",32,0.902743461465121,1.48684991812544
"average.67f15a6eb321af2595c63b9b","average","20",31,0.936287686828549,1.70707500603614
"average.682b8071ffc2da7edd49f10c","average","2",30,0.745417562657406,0.962562197280282
"average.682b8071ffc2da7edd49f10c","average","10",30,0.382615422288012,0.403120042829265
"average.682b8071ffc2da7edd49f10c","average","20",31,0.796044601816184,1.0877203744706
"experience.583ec287ad2f4300014b355a","experience","2",31,0.651635884459026,0.778136639531854
"experience.583ec287ad2f4300014b355a","experience","10",32,0.249463696908709,0.254840836990409
"experience.583ec287ad2f4300014b355a","experience","20",31,0.534352757224185,0.596217778427475
"experience.58a1fe40ea3d11000170d9b9","experience","2",28,0.740816210317465,0.952285972946954
"experience.58a1fe40ea3d11000170d9b9","experience","10",28,0.829429078783263,1.18630402395071
"experience.58a1fe40ea3d11000170d9b9","experience","20",29,0.742955463011986,0.957044063862002
"experience.59296fb2e8a7ff000163f033","experience","2",30,0.692102232193797,0.851979577045655
"experience.59296fb2e8a7ff000163f033","experience","10",30,0.872723790310927,1.34439480908075
"experience.59296fb2e8a7ff000163f033","experience","20",31,0.772137515038407,1.02559971085806
"experience.5c2fcd716ea6880001dc8e3d","experience","2",31,0.689601278858474,0.847195091072482
"experience.5c2fcd716ea6880001dc8e3d","experience","10",32,0.693263864226201,0.854212670290715
"experience.5c2fcd716ea6880001dc8e3d","experience","20",31,0.564404805167281,0.63927367729845
"experience.5c4a4b329ba9e00001ffc4f3","experience","2",30,0.563620277436051,0.638123157318408
"experience.5c4a4b329ba9e00001ffc4f3","experience","10",32,0.802178412986935,1.10469294639695
"experience.5c4a4b329ba9e00001ffc4f3","experience","20",32,0.802813538815721,1.10647700805551
"experience.5caf7f17a85c43001737b4b3","experience","2",31,0.75847283241027,0.992609520268032
"experience.5caf7f17a85c43001737b4b3","experience","10",29,0.296568953138274,0.305753465144215
"experience.5caf7f17a85c43001737b4b3","experience","20",32,0.597946902504793,0.689945367543569
"experience.5d17ce93ac37cd0019535088","experience","2",30,0.704182324206981,0.875548697527756
"experience.5d17ce93ac37cd0019535088","experience","10",32,0.654258292214122,0.782708019280473
"experience.5d17ce93ac37cd0019535088","experience","20",31,0.585942835649953,0.671465158007871
"experience.5d6eea19b26c1100010cb6f3","experience","2",31,0.902020431980103,1.48295650903646
"experience.5d6eea19b26c1100010cb6f3","experience","10",32,0.95909958533552,1.93455002497003
"experience.5d6eea19b26c1100010cb6f3","experience","20",31,0.940547147310883,1.74277082016283
"experience.5d88db42c1d06e001a1fdcab","experience","2",29,0.815561173872937,1.14341602141195
"experience.5d88db42c1d06e001a1fdcab","experience","10",31,0.753187486588368,0.980280918831702
"experience.5d88db42c1d06e001a1fdcab","experience","20",32,0.802617717068935,1.10592640192202
"experience.5d982c7ef65bb80019cc6731","experience","2",30,0.831279917510106,1.19226469237625
"experience.5d982c7ef65bb80019cc6731","experience","10",30,0.879715799477446,1.3745092967637
"experience.5d982c7ef65bb80019cc6731","experience","20",32,0.923496163042016,1.61227941576142
"experience.5e84bd7c34d5d9072128fac1","experience","2",32,0.919937187171722,1.58861813126087
"experience.5e84bd7c34d5d9072128fac1","experience","10",32,0.896413060685433,1.45365413230628
"experience.5e84bd7c34d5d9072128fac1","experience","20",31,0.890068120595724,1.42225362711492
"experience.5e8a1827052175000938eb91","experience","2",30,0.375476216875816,0.39478293868954
"experience.5e8a1827052175000938eb91","experience","10",32,0.546234523378859,0.612998710635376
"experience.5e8a1827052175000938eb91","experience","20",31,0.627901310459389,0.737943905530635
"experience.5ee92b925f0f482bb1e73668","experience","2",30,0.839757473523883,1.2203502879947
"experience.5ee92b925f0f482bb1e73668","experience","10",32,0.834792784094155,1.20374314498124
"experience.5ee92b925f0f482bb1e73668","experience","20",31,0.72750658588818,0.923409961300657
"experience.5ef4d8b87faaa00c0dea0c4e","experience","2",32,0.952625723988721,1.85942544486313
"experience.5ef4d8b87faaa00c0dea0c4e","experience","10",32,0.930976418703231,1.6656664331287
"experience.5ef4d8b87faaa00c0dea0c4e","experience","20",31,0.893644820176799,1.4397372406588
"experience.60a2a8570a0f9cc00d6b9d1a","experience","2",31,0.633840045505917,0.747809053597212
"experience.60a2a8570a0f9cc00d6b9d1a","experience","10",31,0.703783751680341,0.874758518404454
"experience.60a2a8570a0f9cc00d6b9d1a","experience","20",30,0.759354532457976,0.994688758252199
"experience.60bd80a54df9675c7f842774","experience","2",31,0.897836762781219,1.46094903582956
"experience.60bd80a54df9675c7f842774","experience","10",31,0.799068793283481,1.09603093930991
"experience.60bd80a54df9675c7f842774","experience","20",30,0.847874256496072,1.24854188405766
"experience.612517df29cd32c6632b4a44","experience","2",32,0.934090615805863,1.68955584855748
"experience.612517df29cd32c6632b4a44","experience","10",30,0.872529261528424,1.34357925308932
"experience.612517df29cd32c6632b4a44","experience","20",31,0.900128567600569,1.47289657361574
"experience.615dd5ed4fd5b2c64eee7e99","experience","2",32,0.87787265982292,1.36641528943641
"experience.615dd5ed4fd5b2c64eee7e99","experience","10",31,0.893368831843263,1.43836855943948
"experience.615dd5ed4fd5b2c64eee7e99","experience","20",30,0.912865949240593,1.54445507362917
"experience.62b146e365eca239ef0dbbfb","experience","2",30,0.707885236886384,0.88293221557821
"experience.62b146e365eca239ef0dbbfb","experience","10",31,0.578042540690799,0.659517979012336
"experience.62b146e365eca239ef0dbbfb","experience","20",32,0.762491764993291,1.00214078287262
"experience.641dfbd1cf0e57384c37a037","experience","2",32,0.731106896390679,0.931101195561445
"experience.641dfbd1cf0e57384c37a037","experience","10",30,0.778515079007026,1.04158977973146
"experience.641dfbd1cf0e57384c37a037","experience","20",29,0.813683847978966,1.13783517909242
"experience.64f9db6943940e98c173b596","experience","2",30,0.834096124115712,1.20144925201089
"experience.64f9db6943940e98c173b596","experience","10",28,0.596251490592194,0.687310579247104
"experience.64f9db6943940e98c173b596","experience","20",30,0.82881174352622,1.18432892423336
"experience.65465ac216a26bebcc8d8b02","experience","2",31,0.853692387076236,1.26961173539242
"experience.65465ac216a26bebcc8d8b02","experience","10",32,0.844565566008561,1.23688753341304
