"participant_id","trial","condition","array_length","n_items","shown_mean","item_sd","item_min","item_max","skew","n_at_edge"
"67d8b5e7ceb82869824198a2",86,"average",8,8,33,5.47722557505166,25,41,0,0
"67d8b5e7ceb82869824198a2",87,"average",8,8,19,5.47722557505166,11,27,0,0
"67d8b5e7ceb82869824198a2",88,"average",6,6,28,4.32049379893857,22,34,0,0
"67d8b5e7ceb82869824198a2",89,"average",8,8,22,5.47722557505166,14,30,0,0
"67d8b5e7ceb82869824198a2",90,"average",2,2,31,4,27,35,0,0
"67d8b5e7ceb82869824198a2",91,"average",12,12,36.3333333333333,5.45180907793204,27,45,-0.206282093856247,0
"67d8b5e7ceb82869824198a2",92,"average",2,2,25,4,21,29,0,0
"67d8b5e7ceb82869824198a2",93,"average",8,8,24,5.47722557505166,16,32,0,0
"67d8b5e7ceb82869824198a2",94,"average",8,8,27,5.47722557505166,19,35,0,0
"67d8b5e7ceb82869824198a2",95,"average",12,12,16.3333333333333,5.45180907793204,7,25,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",96,"average",2,2,27,4,23,31,0,0
"67d8b5e7ceb82869824198a2",97,"average",6,6,15,4.32049379893857,9,21,0,0
"67d8b5e7ceb82869824198a2",98,"average",8,8,33,5.47722557505166,25,41,0,0
"67d8b5e7ceb82869824198a2",99,"average",6,6,29,4.32049379893857,23,35,0,0
"67d8b5e7ceb82869824198a2",100,"average",6,6,22,4.32049379893857,16,28,0,0
"67d8b5e7ceb82869824198a2",101,"average",2,2,16,4,12,20,0,0
"67d8b5e7ceb82869824198a2",102,"average",12,12,26.3333333333333,5.45180907793204,17,35,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",103,"average",12,12,30.3333333333333,5.45180907793204,21,39,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",104,"average",8,8,27,5.47722557505166,19,35,0,0
"67d8b5e7ceb82869824198a2",105,"average",6,6,33,4.32049379893857,27,39,0,0
"67d8b5e7ceb82869824198a2",106,"average",12,12,33.3333333333333,5.45180907793204,24,42,-0.206282093856247,0
"67d8b5e7ceb82869824198a2",107,"average",2,2,17,4,13,21,0,0
"67d8b5e7ceb82869824198a2",108,"average",2,2,14,4,10,18,0,0
"67d8b5e7ceb82869824198a2",109,"average",6,6,18,4.32049379893857,12,24,0,0
