"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"59205f5005b0ce000123c6e6",54,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",55,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",56,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",57,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",58,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",59,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",60,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",61,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",62,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",63,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",64,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",65,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",66,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",67,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",68,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",69,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",70,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",71,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",72,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",73,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",74,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",75,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",76,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",77,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",78,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",79,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",80,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",81,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",82,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",83,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",84,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",85,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",86,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",87,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",88,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",89,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",90,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",91,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",92,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",93,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",94,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",95,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",96,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",97,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",98,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",99,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",100,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",101,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",102,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",103,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",104,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",105,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",106,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",107,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",108,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",109,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",110,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",111,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",112,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",113,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",114,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",115,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",116,20,5.5,20,"experience",20,"short_exposure"
"56b53292a9d33a000c8981a6",1,10,5.28772162656091,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",12,10,5.25737577123797,10,"experience",10,"short_exposure"
