"participant_id","condition","variance_level","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"experience.6639151df5e0ac5d59c17055","experience","3",18,16.0373931623932,6.52457264957265,0.406834987675705
"experience.6639151df5e0ac5d59c17055","experience","5",28,13.5477335164835,6.49210164835165,0.479202048110314
"experience.6639151df5e0ac5d59c17055","experience","7",20,13.8,6.7,0.485507246376812
"experience.6650ecda2657647b60a302eb","experience","3",17,13.1196266968326,7.1914592760181,0.548145114354077
"experience.6650ecda2657647b60a302eb","experience","5",16,13.2998798076923,7.78305288461539,0.585197234648231
"experience.6650ecda2657647b60a302eb","experience","7",13,12.3975591715976,6.86131656804734,0.553440921158607
"experience.66573c811d17794993965781","experience","3",12,16.1496840442338,8.78515007898894,0.543982783497591
"experience.66573c811d17794993965781","experience","5",21,14.5906116000903,7.85398329948093,0.538290204327853
"experience.66573c811d17794993965781","experience","7",19,13.7892242454477,8.18358692940883,0.593476963151897
"experience.66613916abcfcbe01b57b32a","experience","3",8,13.2964285714286,8.81309523809524,0.662816724863461
"experience.66613916abcfcbe01b57b32a","experience","5",4,13.75,5.5,0.4
"experience.66613916abcfcbe01b57b32a","experience","7",4,14.6857142857143,7.75238095238095,0.527885862516213
"experience.66789a1e138a59bb4ad16fa5","experience","3",5,15.6371428571429,8.77142857142857,0.560935501553079
"experience.66789a1e138a59bb4ad16fa5","experience","5",5,11.187619047619,5.27619047619048,0.471609772707925
"experience.66789a1e138a59bb4ad16fa5","experience","7",7,13.008843537415,7.12244897959184,0.547508236155415
"experience.66d8e14e71c04a7d23ff43c9","experience","3",12,13.9166666666667,9.16666666666667,0.658682634730539
"experience.66d8e14e71c04a7d23ff43c9","experience","5",15,14.355223880597,6.75621890547264,0.47064531780689
"experience.66d8e14e71c04a7d23ff43c9","experience","7",27,15.9793624470241,7.00110558319514,0.438134225092251
"experience.66fcd1c4584eed5dbd49859c","experience","3",2,12.3429951690821,5.73671497584541,0.464774951076321
"experience.66fcd1c4584eed5dbd49859c","experience","5",4,11.75,7.25,0.617021276595745
"experience.66fcd1c4584eed5dbd49859c","experience","7",5,12.1429951690821,7.83671497584541,0.645369191597708
"experience.6716283de5fe806da4523e16","experience","3",22,14.478888410168,6.72727272727273,0.46462632604782
"experience.6716283de5fe806da4523e16","experience","5",15,14.8511848341232,6.6739336492891,0.449387286188409
"experience.6716283de5fe806da4523e16","experience","7",24,13.8526856240126,7.19747235387046,0.519572344975053
"experience.67352889b3b5e7bc6bb4981b","experience","3",2,12.9423076923077,9.71153846153846,0.75037147102526
"experience.67352889b3b5e7bc6bb4981b","experience","5",4,12.0576923076923,3.14423076923077,0.260765550239235
"experience.67352889b3b5e7bc6bb4981b","experience","7",12,10.8814102564103,6.12179487179487,0.56259204712813
"experience.675758f40df8b09c8aa98ad0","experience","3",8,13.1702898550725,8.95229468599034,0.67973406694177
"experience.675758f40df8b09c8aa98ad0","experience","5",2,11.5,7.5,0.652173913043478
