"participant_id","condition","variance_level","n_trials","r","z"
"average.69b702926fc53d9dd8eeaa52","average","3",70,0.730424152701602,0.929636022280256
"average.69b702926fc53d9dd8eeaa52","average","5",70,0.821786531573935,1.16229540839356
"average.69b702926fc53d9dd8eeaa52","average","7",72,0.782576069466352,1.0519828912072
"average.69b885c83f7ae2b8458c6624","average","3",66,0.760197211939334,0.996682132429483
"average.69b885c83f7ae2b8458c6624","average","5",66,0.741813924418237,0.954500893172841
"average.69b885c83f7ae2b8458c6624","average","7",64,0.586288625285625,0.671991900312575
"average.69b8c2e2a791bd09e0041dd7","average","3",68,0.53521984998862,0.597432188202055
"average.69b8c2e2a791bd09e0041dd7","average","5",71,0.521273512282721,0.578086836303885
"average.69b8c2e2a791bd09e0041dd7","average","7",71,0.298011209012543,0.307335548092817
"average.69b9174a05fa2db6d0a8b4ff","average","3",72,0.790779304636589,1.07350825815009
"average.69b9174a05fa2db6d0a8b4ff","average","5",71,0.483500746146437,0.527543049378029
"average.69b9174a05fa2db6d0a8b4ff","average","7",67,0.429615877799605,0.459425518894264
"average.69bb5d0e58b8b38af6ea30eb","average","3",71,0.85904426263388,1.28968593782404
"average.69bb5d0e58b8b38af6ea30eb","average","5",70,0.818627472585394,1.15264214048126
"average.69bb5d0e58b8b38af6ea30eb","average","7",69,0.612224922186919,0.712472484024738
"average.69bc4a5a75e354d36da3b4df","average","3",69,0.737977302471547,0.946023057187856
"average.69bc4a5a75e354d36da3b4df","average","5",68,0.734503453039116,0.938437311202723
"average.69bc4a5a75e354d36da3b4df","average","7",71,0.582379230807193,0.66605553283583
"average.69bdd52e962f286c3349b154","average","3",69,0.655104502821152,0.784188982549196
"average.69bdd52e962f286c3349b154","average","5",72,0.675025172224397,0.81991787300398
"average.69bdd52e962f286c3349b154","average","7",71,0.610597062069133,0.70987279878238
"average.69c07518ef8c7765906f4e89","average","3",69,0.838474275571482,1.21601344710189
"average.69c07518ef8c7765906f4e89","average","5",72,0.779611789733508,1.04437997021764
"average.69c07518ef8c7765906f4e89","average","7",67,0.586234198499332,0.671908970266924
"average.69c19681729c357296460f3d","average","3",72,0.898205503529257,1.46285410327586
"average.69c19681729c357296460f3d","average","5",71,0.831125288945234,1.19176444178412
"average.69c19681729c357296460f3d","average","7",68,0.781981323087861,1.05045019703832
"average.69c1aaedff8c0b25b7df1d32","average","3",70,0.898594000643202,1.46486831844843
