"participant_id","condition","variance_level","n_sides","n_low","n_high","inward_low","inward_high","inward"
"experience.5b0d1b8e444cef0001ca66ac","experience","3",2,22,18,-3.04545454545455,2.38888888888889,-0.328282828282829
"experience.5b0d1b8e444cef0001ca66ac","experience","5",2,18,14,-3.88888888888889,4.42857142857143,0.26984126984127
"experience.5b0d1b8e444cef0001ca66ac","experience","7",2,18,13,-0.611111111111111,2.30769230769231,0.848290598290598
"experience.5bb58e338f3bd70001e5df57","experience","3",2,20,15,-3.1,1.26666666666667,-0.916666666666667
"experience.5bb58e338f3bd70001e5df57","experience","5",2,22,14,-2.86363636363636,5.35714285714286,1.24675324675325
"experience.5bb58e338f3bd70001e5df57","experience","7",2,15,17,-0.933333333333333,7.29411764705882,3.18039215686275
"experience.5c223d4a4a7e1f000137e5b9","experience","3",2,22,14,-2.90909090909091,-6.42857142857143,-4.66883116883117
"experience.5c223d4a4a7e1f000137e5b9","experience","5",2,25,17,1.44,-2.82352941176471,-0.691764705882353
"experience.5c223d4a4a7e1f000137e5b9","experience","7",2,11,14,1.54545454545455,-2.64285714285714,-0.548701298701299
"experience.5d0c46b3dff7d70019e6dda7","experience","3",2,16,16,0.9375,-2.0625,-0.5625
"experience.5d0c46b3dff7d70019e6dda7","experience","5",2,23,13,1.73913043478261,-1.61538461538462,0.0618729096989964
"experience.5d0c46b3dff7d70019e6dda7","experience","7",2,20,17,2.9,-1.70588235294118,0.597058823529412
"experience.5d4611bb3c5a360001b1bb59","experience","3",2,19,15,2.05263157894737,-3.06666666666667,-0.507017543859649
"experience.5d4611bb3c5a360001b1bb59","experience","5",2,25,14,1.8,-2,-0.1
"experience.5d4611bb3c5a360001b1bb59","experience","7",2,15,15,6.73333333333333,-2.46666666666667,2.13333333333333
"experience.5e991aaac7bc1615ea5b3eb8","experience","3",2,22,13,-0.590909090909091,5.30769230769231,2.35839160839161
"experience.5e991aaac7bc1615ea5b3eb8","experience","5",2,22,13,-0.772727272727273,4.69230769230769,1.95979020979021
"experience.5e991aaac7bc1615ea5b3eb8","experience","7",2,16,19,3.5,6.31578947368421,4.9078947368421
"experience.5ebb96b6cd673a0008ace9ce","experience","3",2,17,10,-2.23529411764706,4.2,0.982352941176471
"experience.5ebb96b6cd673a0008ace9ce","experience","5",2,21,15,-0.285714285714286,6,2.85714285714286
"experience.5ebb96b6cd673a0008ace9ce","experience","7",2,22,21,-0.863636363636364,7.19047619047619,3.16341991341991
"experience.5f16f559325a640008bb9a07","experience","3",2,22,11,1.04545454545454,-1.54545454545455,-0.25
"experience.5f16f559325a640008bb9a07","experience","5",2,22,16,1.18181818181818,-3.0625,-0.940340909090909
"experience.5f16f559325a640008bb9a07","experience","7",2,16,14,2.75,-1.28571428571429,0.732142857142857
"experience.5fb809a247aaee22c2a204fc","experience","3",2,23,16,-3.21739130434783,4.3125,0.547554347826087
"experience.5fb809a247aaee22c2a204fc","experience","5",2,16,12,-4.3125,4.75,0.21875
"experience.5fb809a247aaee22c2a204fc","experience","7",2,17,18,-6.05882352941176,6.11111111111111,0.0261437908496731
"experience.608f39d2c76e436967135846","experience","3",2,20,18,0.9,0.833333333333333,0.866666666666667
"experience.608f39d2c76e436967135846","experience","5",2,19,14,2.36842105263158,0.285714285714286,1.32706766917293
"experience.608f39d2c76e436967135846","experience","7",2,21,13,4.23809523809524,-0.0769230769230771,2.08058608058608
"experience.610c83598db46d4d46de2c61","experience","3",2,20,17,2.05,-6.41176470588235,-2.18088235294118
"experience.610c83598db46d4d46de2c61","experience","5",2,23,12,3.56521739130435,-2.16666666666667,0.69927536231884
"experience.610c83598db46d4d46de2c61","experience","7",2,15,16,4.6,-0.8125,1.89375
"experience.6120602a67554358bbd53c9d","experience","3",2,22,19,-0.5,-2.21052631578947,-1.35526315789474
"experience.6120602a67554358bbd53c9d","experience","5",2,17,10,-0.11764705882353,3.1,1.49117647058824
"experience.6120602a67554358bbd53c9d","experience","7",2,19,17,-1.15789473684211,5.94117647058824,2.39164086687307
"experience.6172cf92f2ea6613f717abb6","experience","3",2,12,17,0.75,0.470588235294118,0.610294117647059
"experience.6172cf92f2ea6613f717abb6","experience","5",2,26,7,1.76923076923077,-1.85714285714286,-0.0439560439560438
"experience.6172cf92f2ea6613f717abb6","experience","7",2,18,17,5.38888888888889,-1.52941176470588,1.9297385620915
"experience.62e174454a461d00781acfe1","experience","3",2,22,15,-0.409090909090909,-3.2,-1.80454545454545
"experience.62e174454a461d00781acfe1","experience","5",2,15,17,0.333333333333333,-1.05882352941176,-0.362745098039216
"experience.62e174454a461d00781acfe1","experience","7",2,20,13,1.1,-0.615384615384616,0.242307692307692
"experience.6329e23d509947bfd4c50ab3","experience","3",2,21,15,-7.23809523809524,-0.4,-3.81904761904762
"experience.6329e23d509947bfd4c50ab3","experience","5",2,23,14,-3.56521739130435,3.28571428571429,-0.139751552795031
"experience.6329e23d509947bfd4c50ab3","experience","7",2,16,16,-2.5,3.125,0.3125
"experience.63d92dacc885e6167a4a486c","experience","3",2,19,11,2.05263157894737,0.818181818181818,1.43540669856459
"experience.63d92dacc885e6167a4a486c","experience","5",2,21,15,1.0952380952381,3.2,2.14761904761905
"experience.63d92dacc885e6167a4a486c","experience","7",2,17,19,3.29411764705882,3.36842105263158,3.3312693498452
"experience.64badb09518eb5b219132eea","experience","3",2,25,15,-3.44,-6.26666666666667,-4.85333333333333
"experience.64badb09518eb5b219132eea","experience","5",2,20,14,-3.15,-3.14285714285714,-3.14642857142857
"experience.64badb09518eb5b219132eea","experience","7",2,14,17,0.357142857142857,1.41176470588235,0.884453781512605
"experience.65181c2f753b188afdddd2c4","experience","3",2,22,16,-2.04545454545454,1.0625,-0.491477272727272
"experience.65181c2f753b188afdddd2c4","experience","5",2,16,19,-1.0625,3,0.96875
"experience.65181c2f753b188afdddd2c4","experience","7",2,20,11,0.2,3.27272727272727,1.73636363636364
"experience.655f8b959477c803eb906622","experience","3",2,20,14,-2.85,-0.285714285714286,-1.56785714285714
"experience.655f8b959477c803eb906622","experience","5",2,19,16,-0.789473684210526,0.25,-0.269736842105263
"experience.655f8b959477c803eb906622","experience","7",2,19,15,-0.210526315789474,0.0666666666666666,-0.0719298245614036
"experience.655fd05c12d38751dfa91559","experience","3",2,15,20,-2.93333333333333,3,0.0333333333333334
"experience.655fd05c12d38751dfa91559","experience","5",2,26,10,0.384615384615385,2.5,1.44230769230769
"experience.655fd05c12d38751dfa91559","experience","7",2,17,15,1.29411764705882,3.73333333333333,2.51372549019608
"experience.6599b15ac5bd63ec64f8b1f5","experience","3",2,20,15,0.25,-0.666666666666667,-0.208333333333333
"experience.6599b15ac5bd63ec64f8b1f5","experience","5",2,15,20,-0.8,1.15,0.175
"experience.6599b15ac5bd63ec64f8b1f5","experience","7",2,23,11,-1.04347826086957,0.909090909090909,-0.0671936758893282
"experience.65cce024500351e8c8f7ff26","experience","3",2,21,18,-1.04761904761905,0.722222222222223,-0.162698412698413
"experience.65cce024500351e8c8f7ff26","experience","5",2,18,14,0.333333333333333,2.28571428571429,1.30952380952381
"experience.65cce024500351e8c8f7ff26","experience","7",2,21,14,-0.238095238095239,4.71428571428571,2.23809523809524
"experience.6639151df5e0ac5d59c17055","experience","3",2,18,14,-0.555555555555555,-3.42857142857143,-1.99206349206349
"experience.6639151df5e0ac5d59c17055","experience","5",2,16,17,-2.1875,0.647058823529411,-0.770220588235294
"experience.6639151df5e0ac5d59c17055","experience","7",2,22,14,1.22727272727273,1.92857142857143,1.57792207792208
"experience.6650ecda2657647b60a302eb","experience","3",2,22,12,-0.318181818181818,4.25,1.96590909090909
"experience.6650ecda2657647b60a302eb","experience","5",2,22,14,0.0454545454545449,4.07142857142857,2.05844155844156
"experience.6650ecda2657647b60a302eb","experience","7",2,15,18,0.733333333333333,5.83333333333333,3.28333333333333
"experience.66573c811d17794993965781","experience","3",2,17,16,-3.35294117647059,0.875,-1.23897058823529
"experience.66573c811d17794993965781","experience","5",2,22,16,-2,-1.9375,-1.96875
"experience.66573c811d17794993965781","experience","7",2,19,14,-3.05263157894737,0.5,-1.27631578947368
"experience.66613916abcfcbe01b57b32a","experience","3",2,20,17,0.4,0,0.2
"experience.66613916abcfcbe01b57b32a","experience","5",2,21,16,2.9047619047619,0.875,1.88988095238095
"experience.66613916abcfcbe01b57b32a","experience","7",2,18,11,3.22222222222222,1.81818181818182,2.52020202020202
"experience.66789a1e138a59bb4ad16fa5","experience","3",2,12,16,-0.916666666666667,3.375,1.22916666666667
"experience.66789a1e138a59bb4ad16fa5","experience","5",2,25,15,-1,4.86666666666667,1.93333333333333
"experience.66789a1e138a59bb4ad16fa5","experience","7",2,20,15,0.75,3.26666666666667,2.00833333333333
"experience.66d8e14e71c04a7d23ff43c9","experience","3",2,20,12,-0.0499999999999999,-1.08333333333333,-0.566666666666667
"experience.66d8e14e71c04a7d23ff43c9","experience","5",2,13,15,2.07692307692308,-3.6,-0.761538461538461
"experience.66d8e14e71c04a7d23ff43c9","experience","7",2,18,18,-2.05555555555555,-3.16666666666667,-2.61111111111111
"experience.66fcd1c4584eed5dbd49859c","experience","3",2,18,15,3.27777777777778,2,2.63888888888889
"experience.66fcd1c4584eed5dbd49859c","experience","5",2,18,16,4.77777777777778,1.375,3.07638888888889
"experience.66fcd1c4584eed5dbd49859c","experience","7",2,21,12,6.52380952380952,0.916666666666667,3.7202380952381
"experience.6716283de5fe806da4523e16","experience","3",2,16,18,0.75,-3.27777777777778,-1.26388888888889
