"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp2_batch2","shift_removed","2 squares",33,31.7232142857143,112,3.1742483580137,17,36
"exp2_batch2","shift_removed","2 squares",34,31.7692307692308,104,3.63433136231177,19,36
"exp2_batch2","shift_removed","2 squares",35,32.4805194805195,77,3.00705481725186,23,36
"exp2_batch2","shift_removed","2 squares",36,33.1228070175439,57,2.82887013941329,26,36
"exp2_batch2","shift_removed","2 squares",37,33.4107142857143,56,2.61309141693259,23,36
"exp2_batch2","shift_removed","2 squares",38,33.46,50,2.85864246359944,24,36
"exp2_batch2","shift_removed","2 squares",39,34,32,2.21432287764265,27,36
"exp2_batch2","shift_removed","2 squares",40,33.4193548387097,31,4.03958903477724,15,36
"exp2_batch2","shift_removed","2 squares",41,33.6666666666667,21,2.37346441585572,27,36
"exp2_batch2","shift_removed","2 squares",42,34.3333333333333,9,2.23606797749979,30,36
"exp2_batch2","shift_removed","2 squares",43,34.9090909090909,11,1.44599761096244,32,36
"exp2_batch2","shift_removed","2 squares",44,34.8333333333333,6,1.16904519445001,33,36
"exp2_batch2","shift_removed","2 squares",45,35.5,2,0.707106781186548,35,36
"exp2_batch2","shift_removed","2 squares",46,36,1,NA,36,36
"exp2_batch2","shift_removed","2 squares",47,29.5,2,4.94974746830583,26,33
"exp2_batch2","shift_removed","2 squares",48,32.3333333333333,3,4.61880215351701,27,35
"exp2_batch2","shift_removed","10 squares",2,18,2,5.65685424949238,14,22
"exp2_batch2","shift_removed","10 squares",3,14,1,NA,14,14
"exp2_batch2","shift_removed","10 squares",4,14,1,NA,14,14
"exp2_batch2","shift_removed","10 squares",5,30,1,NA,30,30
"exp2_batch2","shift_removed","10 squares",6,17.25,4,2.5,14,20
"exp2_batch2","shift_removed","10 squares",7,21.6666666666667,6,6.43946167522307,16,34
"exp2_batch2","shift_removed","10 squares",8,15.3076923076923,13,1.25064086135971,14,18
"exp2_batch2","shift_removed","10 squares",9,18.0588235294118,17,4.35130136044514,14,30
"exp2_batch2","shift_removed","10 squares",10,16.3076923076923,13,2.28708749958746,14,21
"exp2_batch2","shift_removed","10 squares",11,17.25,20,4.97229164576318,14,34
"exp2_batch2","shift_removed","10 squares",12,16.8181818181818,33,2.03799143543566,14,21
"exp2_batch2","shift_removed","10 squares",13,16.8529411764706,34,2.6870323039546,14,23
"exp2_batch2","shift_removed","10 squares",14,17.2558139534884,43,3.15544143207084,14,24
"exp2_batch2","shift_removed","10 squares",15,17.6133333333333,75,3.10140915371364,14,28
"exp2_batch2","shift_removed","10 squares",16,18.98,100,4.64710184475825,14,35
"exp2_batch2","shift_removed","10 squares",17,19.7777777777778,90,4.19678254979778,14,30
"exp2_batch2","shift_removed","10 squares",18,18.963503649635,137,3.55090866399857,14,28
"exp2_batch2","shift_removed","10 squares",19,19.8421052631579,133,4.33072550654947,14,33
"exp2_batch2","shift_removed","10 squares",20,21.169014084507,142,4.58794570909328,14,35
"exp2_batch2","shift_removed","10 squares",21,21.3352601156069,173,4.48936398956285,14,33
"exp2_batch2","shift_removed","10 squares",22,21.9621621621622,185,5.22677842374745,14,36
"exp2_batch2","shift_removed","10 squares",23,23.25,176,4.66659863895995,14,36
"exp2_batch2","shift_removed","10 squares",24,22.9814814814815,162,4.92486683266976,14,36
"exp2_batch2","shift_removed","10 squares",25,24.5549132947977,173,5.13692080631437,14,36
"exp2_batch2","shift_removed","10 squares",26,25.7911392405063,158,5.39172968650467,14,36
"exp2_batch2","shift_removed","10 squares",27,26.7396449704142,169,4.91507906896279,14,36
"exp2_batch2","shift_removed","10 squares",28,27.987012987013,154,4.67644216054,14,36
"exp2_batch2","shift_removed","10 squares",29,28.6056338028169,142,4.86987810073439,14,36
"exp2_batch2","shift_removed","10 squares",30,29.7941176470588,136,4.39885110768006,16,36
"exp2_batch2","shift_removed","10 squares",31,29.8809523809524,126,4.6692305881927,14,36
"exp2_batch2","shift_removed","10 squares",32,31.0425531914894,141,4.17111211690519,18,36
"exp2_batch2","shift_removed","10 squares",33,30.5471698113208,106,4.55679936854534,18,36
"exp2_batch2","shift_removed","10 squares",34,31.4880952380952,84,3.77529715616221,22,36
"exp2_batch2","shift_removed","10 squares",35,32.0615384615385,65,3.74531758949142,17,36
"exp2_batch2","shift_removed","10 squares",36,32.45,60,3.12683844227165,24,36
"exp2_batch2","shift_removed","10 squares",37,33.6904761904762,42,2.52294925403657,26,36
"exp2_batch2","shift_removed","10 squares",38,33.64,25,2.70616579930597,28,36
"exp2_batch2","shift_removed","10 squares",39,33,21,3.3466401061363,25,36
"exp2_batch2","shift_removed","10 squares",40,34.0555555555556,18,3.03842494457093,26,36
"exp2_batch2","shift_removed","10 squares",41,34.2142857142857,14,1.18831305306637,33,36
"exp2_batch2","shift_removed","10 squares",42,34.1666666666667,6,1.72240142436851,32,36
"exp2_batch2","shift_removed","10 squares",43,32.25,4,5.56027577253743,24,36
"exp2_batch2","shift_removed","10 squares",44,34.4,5,1.8165902124585,32,36
"exp2_batch2","shift_removed","10 squares",45,36,3,0,36,36
"exp2_batch2","shift_removed","10 squares",48,35,1,NA,35,35
"exp2_batch2","shift_removed","20 squares",2,14,1,NA,14,14
"exp2_batch2","shift_removed","20 squares",4,15.6666666666667,3,2.88675134594813,14,19
"exp2_batch2","shift_removed","20 squares",5,18.5,2,6.36396103067893,14,23
"exp2_batch2","shift_removed","20 squares",6,14.5,2,0.707106781186548,14,15
"exp2_batch2","shift_removed","20 squares",7,15.6,5,3.57770876399966,14,22
"exp2_batch2","shift_removed","20 squares",8,16.3333333333333,6,1.75119007154183,15,19
"exp2_batch2","shift_removed","20 squares",9,16.5384615384615,13,2.06621169516358,14,20
"exp2_batch2","shift_removed","20 squares",10,16.8571428571429,14,2.65611465395322,14,22
"exp2_batch2","shift_removed","20 squares",11,16.56,25,2.87344160662204,14,27
"exp2_batch2","shift_removed","20 squares",12,16.7037037037037,27,2.78477750547252,14,25
"exp2_batch2","shift_removed","20 squares",13,16.8510638297872,47,2.05340357333078,14,23
"exp2_batch2","shift_removed","20 squares",14,17.9677419354839,62,3.5940193579648,14,29
"exp2_batch2","shift_removed","20 squares",15,17.4141414141414,99,2.98639807962737,14,29
"exp2_batch2","shift_removed","20 squares",16,17.8315789473684,95,3.42286626058482,14,30
"exp2_batch2","shift_removed","20 squares",17,18.5714285714286,98,4.30056337714313,14,32
"exp2_batch2","shift_removed","20 squares",18,19.9928057553957,139,4.63211286638432,14,34
"exp2_batch2","shift_removed","20 squares",19,19.8296296296296,135,3.81970683555208,14,31
"exp2_batch2","shift_removed","20 squares",20,20.4081632653061,147,4.37733124118791,14,35
"exp2_batch2","shift_removed","20 squares",21,21.489932885906,149,4.41223337708282,14,36
"exp2_batch2","shift_removed","20 squares",22,22.251497005988,167,4.69518923605219,14,36
