"meanVal","variance_level","condition","mean_response","n_trials"
29.2,"3","experience",29.6,5
29.2,"5","average",32.4285714285714,7
29.2,"5","experience",29.0909090909091,11
29.2,"7","average",29.75,8
29.2,"7","experience",25.6,10
29.3,"5","experience",31,1
29.3,"7","average",37,1
29.7,"7","average",23,1
29.8,"3","average",26,3
29.8,"3","experience",30,8
29.8,"5","average",26,12
29.8,"5","experience",27.8,5
29.8,"7","average",28.5,8
29.8,"7","experience",24.375,8
29.9,"3","average",30.4285714285714,28
29.9,"3","experience",30,43
29.9,"5","average",29.1219512195122,41
29.9,"5","experience",29.6571428571429,35
29.9,"7","average",27.7631578947368,38
29.9,"7","experience",29.4651162790698,43
30,"3","average",28.968253968254,63
30,"3","experience",30.3714285714286,70
30,"5","average",29.6216216216216,74
30,"5","experience",30.6769230769231,65
30,"7","average",29.3488372093023,86
30,"7","experience",29.3875,80
30.1,"3","average",29.1891891891892,37
30.1,"3","experience",32.1960784313725,51
30.1,"5","average",27.8484848484848,33
30.1,"5","experience",31.9583333333333,24
30.1,"7","average",28.5576923076923,52
30.1,"7","experience",28.2162162162162,37
30.2,"3","average",30,5
30.2,"3","experience",28.5,6
30.2,"5","average",31.3333333333333,3
30.2,"5","experience",28,6
30.2,"7","average",29,9
30.2,"7","experience",28.4285714285714,7
30.3,"3","average",27,1
30.3,"3","experience",35,1
30.7,"3","average",29,1
30.8,"3","average",34.375,8
30.8,"3","experience",24.4,5
30.8,"5","average",27.75,4
30.8,"5","experience",30.8571428571429,7
30.8,"7","average",26.75,4
30.8,"7","experience",25.4,5
30.9,"3","average",30.5952380952381,42
30.9,"3","experience",32.5555555555556,36
30.9,"5","average",31.0769230769231,39
30.9,"5","experience",29.8780487804878,41
30.9,"7","average",28.6086956521739,46
30.9,"7","experience",28.84375,32
31,"3","average",30.9466666666667,75
31,"3","experience",31.3921568627451,51
31,"5","average",30.9692307692308,65
31,"5","experience",30.6612903225806,62
31,"7","average",29.4027777777778,72
31,"7","experience",30.9880952380952,84
31.1,"3","average",30.62,50
31.1,"3","experience",32.3877551020408,49
31.1,"5","average",29.4285714285714,35
31.1,"5","experience",31.16,50
31.1,"7","average",30.4411764705882,34
31.1,"7","experience",30.1951219512195,41
31.2,"3","average",26.3333333333333,9
31.2,"3","experience",30.8333333333333,6
31.2,"5","average",32.875,8
31.2,"5","experience",30.5,6
31.2,"7","average",28.7,10
31.2,"7","experience",29.1111111111111,9
31.3,"5","experience",37,1
31.8,"3","average",30.1111111111111,9
31.8,"3","experience",30.8571428571429,7
31.8,"5","average",32.8571428571429,7
31.8,"5","experience",36.6,5
31.8,"7","average",31.8,5
31.8,"7","experience",31,7
31.9,"3","average",30.85,40
31.9,"3","experience",32.4285714285714,28
31.9,"5","average",31.3636363636364,33
31.9,"5","experience",30.948717948718,39
31.9,"7","average",30.9074074074074,54
31.9,"7","experience",31.25,44
32,"3","average",32.1029411764706,68
32,"3","experience",31.4242424242424,66
32,"5","average",31.9047619047619,63
32,"5","experience",31.1969696969697,66
32,"7","average",30.3055555555556,72
32,"7","experience",30.7746478873239,71
32.1,"3","average",33.4848484848485,33
32.1,"3","experience",31.9111111111111,45
32.1,"5","average",31.8648648648649,37
32.1,"5","experience",31.8478260869565,46
32.1,"7","average",31.4186046511628,43
32.1,"7","experience",32.3414634146341,41
32.2,"3","average",32.8888888888889,9
32.2,"3","experience",29,4
32.2,"5","average",34.2222222222222,9
32.2,"5","experience",29.2,5
32.2,"7","average",33.3636363636364,11
32.2,"7","experience",29.1538461538462,13
32.7,"3","experience",34,1
32.7,"5","experience",22,1
32.8,"3","average",32.1,10
32.8,"3","experience",36.75,8
32.8,"5","average",31.125,8
32.8,"5","experience",31.125,8
32.8,"7","average",29.5,6
32.8,"7","experience",31.6666666666667,9
32.9,"3","average",32.1428571428571,28
32.9,"3","experience",33.625,48
32.9,"5","average",32.2325581395349,43
32.9,"5","experience",33.0789473684211,38
32.9,"7","average",29.1666666666667,48
32.9,"7","experience",33.046511627907,43
33,"3","average",32.6805555555556,72
33,"3","experience",35.6461538461538,65
33,"5","average",32.0724637681159,69
33,"5","experience",32.2758620689655,58
33,"7","average",30.8939393939394,66
33,"7","experience",32.6307692307692,65
33.1,"3","average",32.4047619047619,42
33.1,"3","experience",32.9677419354839,31
33.1,"5","average",32.2954545454545,44
33.1,"5","experience",32.7878787878788,33
33.1,"7","average",30.7560975609756,41
33.1,"7","experience",31.3818181818182,55
33.2,"3","average",31.4,5
33.2,"3","experience",35.4,5
33.2,"5","average",28.2,5
33.2,"5","experience",34.1666666666667,6
33.2,"7","average",34.6,5
33.2,"7","experience",36.2727272727273,11
33.3,"3","average",21,1
33.7,"3","experience",36,1
33.8,"3","average",32.3333333333333,3
33.8,"3","experience",31.6666666666667,3
33.8,"5","average",28.4,5
33.8,"5","experience",31.5,6
33.8,"7","average",28,6
33.8,"7","experience",35.2,5
33.9,"3","average",33.8571428571429,42
33.9,"3","experience",34.9090909090909,44
33.9,"5","average",31.25,44
33.9,"5","experience",34.5897435897436,39
33.9,"7","average",29.4042553191489,47
33.9,"7","experience",33.0285714285714,35
34,"3","average",33.9545454545455,66
34,"3","experience",33.6621621621622,74
34,"5","average",32.8870967741936,62
34,"5","experience",33.9206349206349,63
34,"7","average",31.5,66
34,"7","experience",32.6103896103896,77
34.1,"3","average",36.2888888888889,45
34.1,"3","experience",35.375,48
34.1,"5","average",31.9024390243902,41
34.1,"5","experience",33,46
34.1,"7","average",31.3461538461538,52
34.1,"7","experience",32.9375,32
34.2,"3","average",28.6666666666667,3
34.2,"3","experience",35.2857142857143,7
34.2,"5","average",30.1666666666667,6
34.2,"5","experience",34.8,5
34.2,"7","average",37,8
34.2,"7","experience",33.4285714285714,7
34.3,"3","average",48,1
34.3,"7","average",28,1
34.3,"7","experience",36,1
34.7,"7","experience",35,1
34.8,"3","average",36.5,6
34.8,"3","experience",38,1
34.8,"5","average",40,1
34.8,"5","experience",34.7142857142857,7
34.8,"7","average",34,5
34.8,"7","experience",34.1666666666667,6
34.9,"3","average",35.45,20
34.9,"3","experience",34.7391304347826,23
34.9,"5","average",34.6190476190476,21
34.9,"5","experience",34.2,25
34.9,"7","average",31.9354838709677,31
34.9,"7","experience",31.8181818181818,22
35,"3","average",33.6976744186046,43
35,"3","experience",36.219512195122,41
35,"5","average",31.8409090909091,44
35,"5","experience",33.5714285714286,35
35,"7","average",33.4259259259259,54
35,"7","experience",33.12,50
35.1,"3","average",33.3684210526316,19
35.1,"3","experience",35.05,20
35.1,"5","average",30.1818181818182,22
35.1,"5","experience",34.45,20
35.1,"7","average",33.0434782608696,23
35.1,"7","experience",34.3333333333333,30
35.2,"3","average",34.6666666666667,3
35.2,"3","experience",36.4,5
35.2,"5","average",35,3
35.2,"5","experience",30.5,4
35.2,"7","average",35.25,4
35.2,"7","experience",31,2
