"participant_id","condition","variance_level","n_trials","r","z"
"average.69b8c2e2a791bd09e0041dd7","average","3",68,0.535015506774547,0.597145852487238
"average.69b8c2e2a791bd09e0041dd7","average","5",71,0.520130863974565,0.576519135702055
"average.69b8c2e2a791bd09e0041dd7","average","7",71,0.295339180623406,0.304405637801635
"average.69b9174a05fa2db6d0a8b4ff","average","3",72,0.789376471124756,1.06977509074142
"average.69b9174a05fa2db6d0a8b4ff","average","5",71,0.483378529384467,0.527383557042519
"average.69b9174a05fa2db6d0a8b4ff","average","7",67,0.4323669011616,0.462804136671692
"average.69bb5d0e58b8b38af6ea30eb","average","3",71,0.85980722711193,1.29260484765693
"average.69bb5d0e58b8b38af6ea30eb","average","5",70,0.817850939292446,1.15029245652191
"average.69bb5d0e58b8b38af6ea30eb","average","7",69,0.614795702985253,0.716594946405698
"average.69bc4a5a75e354d36da3b4df","average","3",69,0.739746691199858,0.949919690248448
"average.69bc4a5a75e354d36da3b4df","average","5",68,0.734822549136451,0.939130591104245
"average.69bc4a5a75e354d36da3b4df","average","7",71,0.582412931739687,0.66610653189378
"average.69bdd52e962f286c3349b154","average","3",69,0.654351138853743,0.782870371125708
"average.69bdd52e962f286c3349b154","average","5",72,0.675266882504422,0.82036204818146
"average.69bdd52e962f286c3349b154","average","7",71,0.611227564414485,0.710878727937873
"average.69c07518ef8c7765906f4e89","average","3",69,0.837389980898268,1.21237327082307
"average.69c07518ef8c7765906f4e89","average","5",72,0.778898632844237,1.04256421745971
"average.69c07518ef8c7765906f4e89","average","7",67,0.586838112514844,0.672829605642899
"average.69c19681729c357296460f3d","average","3",72,0.897528137900419,1.45935954665124
"average.69c19681729c357296460f3d","average","5",71,0.829651265590727,1.18701647385043
"average.69c19681729c357296460f3d","average","7",68,0.782192510495674,1.05099401789861
"average.69c1aaedff8c0b25b7df1d32","average","3",70,0.899696473984701,1.47062427640989
"average.69c1aaedff8c0b25b7df1d32","average","5",72,0.909475713929579,1.52448290948026
"average.69c1aaedff8c0b25b7df1d32","average","7",71,0.897492598770278,1.45917680282748
"experience.558955ebfdf99b6bd06016c9","experience","3",68,0.931909835964081,1.67271578816571
"experience.558955ebfdf99b6bd06016c9","experience","5",71,0.863950254763427,1.30871635743764
"experience.558955ebfdf99b6bd06016c9","experience","7",71,0.709123441194658,0.885418464975299
"experience.56c79f6cc41c43000c0886b0","experience","3",71,0.779792456134292,1.0448407779775
"experience.56c79f6cc41c43000c0886b0","experience","5",70,0.667763924990696,0.806696627795172
"experience.56c79f6cc41c43000c0886b0","experience","7",70,0.637349145273649,0.753696649772367
"experience.5711c09d28742b0011c585be","experience","3",71,0.797190295580055,1.09085582734795
"experience.5711c09d28742b0011c585be","experience","5",70,0.815031705278811,1.14183689225695
"experience.5711c09d28742b0011c585be","experience","7",69,0.75487629169584,0.984195314695025
"experience.5a5aabd3acc75b00017a5300","experience","3",71,0.572317255411942,0.650962049644891
"experience.5a5aabd3acc75b00017a5300","experience","5",68,0.577359325711166,0.658492533351268
"experience.5a5aabd3acc75b00017a5300","experience","7",71,0.341341890163653,0.355610602010805
"experience.5a792c898fe2dc0001058c3b","experience","3",71,0.85365841002494,1.26948646897653
"experience.5a792c898fe2dc0001058c3b","experience","5",72,0.836238424526532,1.20853143083561
"experience.5a792c898fe2dc0001058c3b","experience","7",68,0.810834966979234,1.12946175048846
"experience.5b0d1b8e444cef0001ca66ac","experience","3",70,0.841186993369033,1.22521914825427
"experience.5b0d1b8e444cef0001ca66ac","experience","5",70,0.828364538012586,1.18290216526743
"experience.5b0d1b8e444cef0001ca66ac","experience","7",71,0.724895764643504,0.917885918918084
"experience.5bb58e338f3bd70001e5df57","experience","3",70,0.744152249327853,0.959720677980455
"experience.5bb58e338f3bd70001e5df57","experience","5",71,0.632806486020829,0.746083294341537
"experience.5bb58e338f3bd70001e5df57","experience","7",70,0.513936627705624,0.568064782264089
"experience.5c223d4a4a7e1f000137e5b9","experience","3",72,0.856728641619073,1.28091549012864
"experience.5c223d4a4a7e1f000137e5b9","experience","5",69,0.799554632979838,1.09737638061041
"experience.5c223d4a4a7e1f000137e5b9","experience","7",71,0.769441484930073,1.01895726942084
"experience.5d0c46b3dff7d70019e6dda7","experience","3",72,0.881244907876052,1.38131284933876
"experience.5d0c46b3dff7d70019e6dda7","experience","5",70,0.879687666122709,1.37438488162998
"experience.5d0c46b3dff7d70019e6dda7","experience","7",70,0.771696830739624,1.02450929617094
"experience.5d4611bb3c5a360001b1bb59","experience","3",71,0.862188605446776,1.30181085017135
"experience.5d4611bb3c5a360001b1bb59","experience","5",72,0.870993562871195,1.33718129122657
"experience.5d4611bb3c5a360001b1bb59","experience","7",70,0.779908591268386,1.04513716722718
