"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.673feeafa80a279f5cc63e33","average","7","extreme",36,8.41823003908431,-1.63333333333333
"average.673feeafa80a279f5cc63e33","average","7","middle",34,2.76093703813184,-1.55
"average.696a97da7648c7e49fa8eb36","average","3","extreme",37,8.02737287050083,-0.862162162162162
"average.696a97da7648c7e49fa8eb36","average","3","middle",34,2.52352941176471,-1.21176470588235
"average.696a97da7648c7e49fa8eb36","average","5","extreme",35,7.67252538930264,-1.12
"average.696a97da7648c7e49fa8eb36","average","5","middle",33,2.89987074536838,-1.63636363636364
"average.696a97da7648c7e49fa8eb36","average","7","extreme",37,8.18412962725759,1.48378378378378
"average.696a97da7648c7e49fa8eb36","average","7","middle",35,2.73890318212593,1.16
"average.6980f50102e1cb37d5b3464a","average","3","extreme",32,8.15344929245283,0.178125
"average.6980f50102e1cb37d5b3464a","average","3","middle",38,2.88254716981132,0.231578947368421
"average.6980f50102e1cb37d5b3464a","average","5","extreme",39,7.82928156748912,1.91025641025641
"average.6980f50102e1cb37d5b3464a","average","5","middle",32,2.63175117924528,1.371875
"average.6980f50102e1cb37d5b3464a","average","7","extreme",41,7.97239990796134,1.74390243902439
"average.6980f50102e1cb37d5b3464a","average","7","middle",30,2.30754716981132,1.59
"average.69854f587004c7ca1ef67ab5","average","3","extreme",35,7.57,-0.179999999999999
"average.69854f587004c7ca1ef67ab5","average","3","middle",34,2.70882352941176,-0.35
"average.69854f587004c7ca1ef67ab5","average","5","extreme",35,8.00836734693877,1.26857142857143
"average.69854f587004c7ca1ef67ab5","average","5","middle",34,2.38949579831933,-0.629411764705882
"average.69854f587004c7ca1ef67ab5","average","7","extreme",37,8.46158301158301,2.75405405405405
"average.69854f587004c7ca1ef67ab5","average","7","middle",35,2.84061224489796,0.645714285714286
"average.69864918d688ba39aab5c4a9","average","3","extreme",38,7.62383750638733,-0.234210526315789
"average.69864918d688ba39aab5c4a9","average","3","middle",31,2.53704979642969,0.735483870967742
"average.69864918d688ba39aab5c4a9","average","5","extreme",35,8.10180305131762,1.32
"average.69864918d688ba39aab5c4a9","average","5","middle",31,2.77889132477294,0.922580645161291
"average.69864918d688ba39aab5c4a9","average","7","extreme",33,7.98061194468962,3.19090909090909
"average.69864918d688ba39aab5c4a9","average","7","middle",38,2.85758814512008,0.863157894736842
"average.698a3d827015c99ab3f87957","average","3","extreme",37,8.08860726755464,2.78378378378379
"average.698a3d827015c99ab3f87957","average","3","middle",33,2.95132666376686,1.96666666666667
"average.698a3d827015c99ab3f87957","average","5","extreme",35,8.00672590567327,2.44
"average.698a3d827015c99ab3f87957","average","5","middle",34,2.37144666479032,2.09705882352941
"average.698a3d827015c99ab3f87957","average","7","extreme",37,7.72757015388594,2.65675675675676
"average.698a3d827015c99ab3f87957","average","7","middle",33,2.82228505147165,2.13030303030303
"average.699288bfa36a91c33ada5723","average","3","extreme",38,7.77823646794712,-0.197368421052632
"average.699288bfa36a91c33ada5723","average","3","middle",33,2.85935659916703,1.99090909090909
"average.699288bfa36a91c33ada5723","average","5","extreme",34,8.02194034011709,0.63529411764706
"average.699288bfa36a91c33ada5723","average","5","middle",36,2.91261190100053,2.91666666666667
"average.699288bfa36a91c33ada5723","average","7","extreme",39,7.91644185198688,3.67692307692308
"average.699288bfa36a91c33ada5723","average","7","middle",31,2.21715334046782,1.87096774193548
"average.6998845b8b98b147215b19e5","average","3","extreme",40,8.12387323943662,-0.515
"average.6998845b8b98b147215b19e5","average","3","middle",29,2.34686741136474,-1.12758620689655
"average.6998845b8b98b147215b19e5","average","5","extreme",34,8.03235294117647,-0.320588235294118
"average.6998845b8b98b147215b19e5","average","5","middle",38,2.31697553743514,-0.48421052631579
"average.6998845b8b98b147215b19e5","average","7","extreme",38,7.65618977020015,1.46315789473684
"average.6998845b8b98b147215b19e5","average","7","middle",34,3.17328086164043,-0.902941176470589
"average.699f3d1a77d51612aeaf5766","average","3","extreme",33,8.41632916846187,-2.81515151515152
"average.699f3d1a77d51612aeaf5766","average","3","middle",39,2.69358366751732,0.623076923076923
"average.699f3d1a77d51612aeaf5766","average","5","extreme",37,7.69474830280518,0.105405405405405
"average.699f3d1a77d51612aeaf5766","average","5","middle",33,2.66851931638661,-0.403030303030303
"average.699f3d1a77d51612aeaf5766","average","7","extreme",41,7.84024968211767,0.44390243902439
"average.699f3d1a77d51612aeaf5766","average","7","middle",28,2.52420446851726,1.3
"average.699fc622b54af00bf1380eba","average","3","extreme",37,7.95575765338799,-4.39189189189189
"average.699fc622b54af00bf1380eba","average","3","middle",34,2.5999303038751,0.208823529411764
"average.699fc622b54af00bf1380eba","average","5","extreme",31,7.71823880140651,-2.10645161290323
"average.699fc622b54af00bf1380eba","average","5","middle",39,2.66767529468951,0.0820512820512818
"average.699fc622b54af00bf1380eba","average","7","extreme",38,8.5180468944874,-0.844736842105263
"average.699fc622b54af00bf1380eba","average","7","middle",32,2.9063240521327,-0.178125
"average.69a30af34cf4575fd785090b","average","3","extreme",30,8.30666666666667,-4.32666666666667
"average.69a30af34cf4575fd785090b","average","3","middle",41,2.73413478210612,-0.490243902439024
"average.69a30af34cf4575fd785090b","average","5","extreme",41,8.11567448849844,-0.273170731707317
"average.69a30af34cf4575fd785090b","average","5","middle",30,2.34382306477093,-1.26
"average.69a30af34cf4575fd785090b","average","7","extreme",36,7.70038177988415,-0.480555555555556
"average.69a30af34cf4575fd785090b","average","7","middle",33,2.84460720953612,0.566666666666667
"average.69a4b67351c86f1665010c28","average","3","extreme",33,7.82666362113598,0.539393939393939
"average.69a4b67351c86f1665010c28","average","3","middle",32,2.75563756281407,-0.684375
"average.69a4b67351c86f1665010c28","average","5","extreme",37,8.06758114898818,1.56486486486486
"average.69a4b67351c86f1665010c28","average","5","middle",29,2.85238260266851,0.703448275862068
"average.69a4b67351c86f1665010c28","average","7","extreme",36,8.12445561139029,3.06666666666667
"average.69a4b67351c86f1665010c28","average","7","middle",32,2.58060615577889,-1.196875
"average.69a54b53983c2fc21935a276","average","3","extreme",36,7.83466775599129,-2.85
"average.69a54b53983c2fc21935a276","average","3","middle",35,2.11634453781513,-2.44
"average.69a54b53983c2fc21935a276","average","5","extreme",27,7.72354756717502,-3.9037037037037
"average.69a54b53983c2fc21935a276","average","5","middle",41,3.2405906264945,-0.785365853658537
"average.69a54b53983c2fc21935a276","average","7","extreme",39,8.09322523881347,-2.13589743589744
"average.69a54b53983c2fc21935a276","average","7","middle",26,2.74615384615385,-2.94615384615385
"average.69aa203bc67c0093e96b9875","average","3","extreme",34,8.12271471969069,-1.10294117647059
