"participant_id","condition","array_length","side","n_trials","inward"
"average.657b80c8ff78a49936e4cff3","average","20","low",11,3.86363636363636
"average.6604664cb53a76971c8a1dce","average","2","high",7,6
"average.6604664cb53a76971c8a1dce","average","2","low",11,-4.72727272727273
"average.6604664cb53a76971c8a1dce","average","10","high",6,5.86666666666667
"average.6604664cb53a76971c8a1dce","average","10","low",10,-1.8
"average.6604664cb53a76971c8a1dce","average","20","high",9,5.16666666666667
"average.6604664cb53a76971c8a1dce","average","20","low",9,1.38888888888889
"average.662613a0c132844f74a62143","average","2","high",13,8.84615384615385
"average.662613a0c132844f74a62143","average","2","low",8,-4.25
"average.662613a0c132844f74a62143","average","10","high",9,5.42222222222223
"average.662613a0c132844f74a62143","average","10","low",8,-1.075
"average.662613a0c132844f74a62143","average","20","high",8,8.625
"average.662613a0c132844f74a62143","average","20","low",10,-6.6
"average.6627e29477d23bd171a6728a","average","2","high",10,11.4
"average.6627e29477d23bd171a6728a","average","2","low",6,-3.33333333333333
"average.6627e29477d23bd171a6728a","average","10","high",8,8.825
"average.6627e29477d23bd171a6728a","average","10","low",6,-1.7
"average.6627e29477d23bd171a6728a","average","20","high",4,9.75
"average.6627e29477d23bd171a6728a","average","20","low",14,-2.07142857142857
"average.666fb6f24d1c14f333eb4a0a","average","2","high",11,6.18181818181818
"average.666fb6f24d1c14f333eb4a0a","average","2","low",8,-5.125
"average.666fb6f24d1c14f333eb4a0a","average","10","high",10,7.5
"average.666fb6f24d1c14f333eb4a0a","average","10","low",8,-2.325
"average.666fb6f24d1c14f333eb4a0a","average","20","high",8,6.875
"average.666fb6f24d1c14f333eb4a0a","average","20","low",15,-3.96666666666667
"average.667871d17d7fdf0358f82a28","average","2","high",11,10.5454545454545
"average.667871d17d7fdf0358f82a28","average","2","low",7,-4.85714285714286
"average.667871d17d7fdf0358f82a28","average","10","high",9,8.2
"average.667871d17d7fdf0358f82a28","average","10","low",10,-4.4
"average.667871d17d7fdf0358f82a28","average","20","high",8,6.375
"average.667871d17d7fdf0358f82a28","average","20","low",10,-2.8
"average.6683fb33cc602af8407e62e9","average","2","high",8,4.5
"average.6683fb33cc602af8407e62e9","average","2","low",7,-2
"average.6683fb33cc602af8407e62e9","average","10","high",14,4.05714285714286
"average.6683fb33cc602af8407e62e9","average","10","low",9,0.577777777777779
"average.6683fb33cc602af8407e62e9","average","20","high",5,2.1
"average.6683fb33cc602af8407e62e9","average","20","low",11,-4.77272727272727
"average.669036d23349747de1e78aba","average","2","high",14,0.857142857142857
"average.669036d23349747de1e78aba","average","2","low",3,-2.66666666666667
"average.669036d23349747de1e78aba","average","10","high",11,1.83636363636364
"average.669036d23349747de1e78aba","average","10","low",6,4.46666666666667
"average.669036d23349747de1e78aba","average","20","high",10,-0.3
"average.669036d23349747de1e78aba","average","20","low",6,7.16666666666667
"average.669eb709554e753adddffe01","average","2","high",13,8.76923076923077
"average.669eb709554e753adddffe01","average","2","low",4,-6.5
"average.669eb709554e753adddffe01","average","10","high",6,4.53333333333334
"average.669eb709554e753adddffe01","average","10","low",8,1.425
"average.669eb709554e753adddffe01","average","20","high",10,4
"average.669eb709554e753adddffe01","average","20","low",10,-1.3
"average.66a428de01ccbc61556d585b","average","2","high",4,12.25
"average.66a428de01ccbc61556d585b","average","2","low",12,-4.58333333333333
"average.66a428de01ccbc61556d585b","average","10","high",6,4.2
"average.66a428de01ccbc61556d585b","average","10","low",7,1.94285714285714
"average.66a428de01ccbc61556d585b","average","20","high",5,4.5
"average.66a428de01ccbc61556d585b","average","20","low",14,2.92857142857143
"average.66aa5c3f0d9d6bcf931c3533","average","2","high",10,5.7
"average.66aa5c3f0d9d6bcf931c3533","average","2","low",7,-0.714285714285714
"average.66aa5c3f0d9d6bcf931c3533","average","10","high",7,8.77142857142857
"average.66aa5c3f0d9d6bcf931c3533","average","10","low",11,1.43636363636364
"average.66aa5c3f0d9d6bcf931c3533","average","20","high",11,8.22727272727273
"average.66aa5c3f0d9d6bcf931c3533","average","20","low",8,-0.125
"average.66afcaa60f7d8f58dc21db8e","average","2","high",10,6.2
"average.66afcaa60f7d8f58dc21db8e","average","2","low",7,6.71428571428571
"average.66afcaa60f7d8f58dc21db8e","average","10","high",8,0.825000000000002
"average.66afcaa60f7d8f58dc21db8e","average","10","low",8,8.3
"average.66afcaa60f7d8f58dc21db8e","average","20","high",7,1.5
"average.66afcaa60f7d8f58dc21db8e","average","20","low",10,0.7
"average.66cc97280604bbb0c7bc71bd","average","2","high",10,7.5
"average.66cc97280604bbb0c7bc71bd","average","2","low",5,-1.4
"average.66cc97280604bbb0c7bc71bd","average","10","high",5,7.4
"average.66cc97280604bbb0c7bc71bd","average","10","low",15,-1.06666666666667
"average.66cc97280604bbb0c7bc71bd","average","20","high",4,5.5
"average.66cc97280604bbb0c7bc71bd","average","20","low",6,0.333333333333333
"average.66ccbb7d4109382e498e3c82","average","2","high",7,8.57142857142857
"average.66ccbb7d4109382e498e3c82","average","2","low",6,-3.5
"average.66ccbb7d4109382e498e3c82","average","10","high",10,6.8
"average.66ccbb7d4109382e498e3c82","average","10","low",3,-2.86666666666667
"average.66ccbb7d4109382e498e3c82","average","20","high",6,7.33333333333333
"average.66ccbb7d4109382e498e3c82","average","20","low",10,-4
"average.66f9a40196d53f05f2232cff","average","2","high",8,-0.375
"average.66f9a40196d53f05f2232cff","average","2","low",4,-1.5
"average.66f9a40196d53f05f2232cff","average","10","high",8,-0.299999999999999
"average.66f9a40196d53f05f2232cff","average","10","low",7,3.94285714285714
"average.66f9a40196d53f05f2232cff","average","20","high",3,0.833333333333333
"average.66f9a40196d53f05f2232cff","average","20","low",9,6.27777777777778
"average.6704304cf839621ba18d9529","average","2","high",7,4.28571428571429
"average.6704304cf839621ba18d9529","average","2","low",9,0.555555555555556
"average.6704304cf839621ba18d9529","average","10","high",6,-0.299999999999998
"average.6704304cf839621ba18d9529","average","10","low",5,4.8
"average.6704304cf839621ba18d9529","average","20","high",4,-1.75
"average.6704304cf839621ba18d9529","average","20","low",8,6
"average.6712acd49ca5448a6e983e6c","average","2","high",8,4.375
"average.6712acd49ca5448a6e983e6c","average","2","low",12,0.583333333333333
"average.6712acd49ca5448a6e983e6c","average","10","high",8,4.45
"average.6712acd49ca5448a6e983e6c","average","10","low",11,3.34545454545455
"average.6712acd49ca5448a6e983e6c","average","20","high",9,3.94444444444444
"average.6712acd49ca5448a6e983e6c","average","20","low",13,4.65384615384615
"average.671912820d4a64051a764936","average","2","high",10,9.2
"average.671912820d4a64051a764936","average","2","low",4,1.25
"average.671912820d4a64051a764936","average","10","high",5,6.6
"average.671912820d4a64051a764936","average","10","low",11,1.70909090909091
"average.671912820d4a64051a764936","average","20","high",5,8.1
"average.671912820d4a64051a764936","average","20","low",11,2.5
"average.672c2b25d6aa996ff3d8244f","average","2","high",8,2.875
"average.672c2b25d6aa996ff3d8244f","average","2","low",8,-5
"average.672c2b25d6aa996ff3d8244f","average","10","high",7,2.62857142857143
"average.672c2b25d6aa996ff3d8244f","average","10","low",9,-1.2
"average.672c2b25d6aa996ff3d8244f","average","20","high",8,0
"average.672c2b25d6aa996ff3d8244f","average","20","low",14,-3.21428571428571
"average.672c4e78eeaae1dfe925f5e2","average","2","high",3,-0.666666666666667
"average.672c4e78eeaae1dfe925f5e2","average","2","low",11,-2
"average.672c4e78eeaae1dfe925f5e2","average","10","high",9,3.97777777777778
"average.672c4e78eeaae1dfe925f5e2","average","10","low",8,0.800000000000001
"average.672c4e78eeaae1dfe925f5e2","average","20","high",8,4.625
"average.672c4e78eeaae1dfe925f5e2","average","20","low",15,5.3
"average.672fcaf82c52010e8586b90a","average","2","high",6,5.5
"average.672fcaf82c52010e8586b90a","average","2","low",7,-2.42857142857143
"average.672fcaf82c52010e8586b90a","average","10","high",9,6.86666666666667
"average.672fcaf82c52010e8586b90a","average","10","low",7,-5.05714285714286
"average.672fcaf82c52010e8586b90a","average","20","high",14,7.85714285714286
"average.672fcaf82c52010e8586b90a","average","20","low",6,-5
"average.6732dd2ad292849faaca9cd3","average","2","high",6,7.33333333333333
"average.6732dd2ad292849faaca9cd3","average","2","low",5,-1.2
"average.6732dd2ad292849faaca9cd3","average","10","high",12,7.7
"average.6732dd2ad292849faaca9cd3","average","10","low",9,0.911111111111112
"average.6732dd2ad292849faaca9cd3","average","20","high",12,4.5
"average.6732dd2ad292849faaca9cd3","average","20","low",8,-0.875
"average.6735b2a6112cf17b7b8df8d1","average","2","high",7,2.28571428571429
"average.6735b2a6112cf17b7b8df8d1","average","2","low",10,-2.3
"average.6735b2a6112cf17b7b8df8d1","average","10","high",6,6.86666666666667
"average.6735b2a6112cf17b7b8df8d1","average","10","low",9,1.02222222222222
"average.6735b2a6112cf17b7b8df8d1","average","20","high",7,6.78571428571429
"average.6735b2a6112cf17b7b8df8d1","average","20","low",13,4.42307692307692
"average.673a27fe372ce97a95aecf5c","average","2","high",8,6.375
"average.673a27fe372ce97a95aecf5c","average","2","low",9,-5.88888888888889
"average.673a27fe372ce97a95aecf5c","average","10","high",5,4
"average.673a27fe372ce97a95aecf5c","average","10","low",6,-2.2
"average.673a27fe372ce97a95aecf5c","average","20","high",8,8.5
"average.673a27fe372ce97a95aecf5c","average","20","low",13,-5.26923076923077
"average.67414dcbcf89f6a633385d49","average","2","high",7,2.71428571428571
"average.67414dcbcf89f6a633385d49","average","2","low",8,-0.5
"average.67414dcbcf89f6a633385d49","average","10","high",8,-0.674999999999998
"average.67414dcbcf89f6a633385d49","average","10","low",13,3.41538461538462
"average.67414dcbcf89f6a633385d49","average","20","high",9,-1.38888888888889
"average.67414dcbcf89f6a633385d49","average","20","low",7,2.78571428571429
"average.674c8549a9fd90b7c8dda9d3","average","2","high",12,6.83333333333333
"average.674c8549a9fd90b7c8dda9d3","average","2","low",8,-0.625
"average.674c8549a9fd90b7c8dda9d3","average","10","high",9,5.97777777777778
"average.674c8549a9fd90b7c8dda9d3","average","10","low",4,2.55
