"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.673feeafa80a279f5cc63e33","average","5","extreme",28,7.87239770279971,-2.28571428571429
"average.673feeafa80a279f5cc63e33","average","5","middle",38,2.75575244644274,-1.5
"average.673feeafa80a279f5cc63e33","average","7","extreme",36,8.44039642657733,-1.61111111111111
"average.673feeafa80a279f5cc63e33","average","7","middle",34,2.78155483298847,-1.52941176470588
"average.696a97da7648c7e49fa8eb36","average","3","extreme",36,8.12769878883623,-1.02777777777778
"average.696a97da7648c7e49fa8eb36","average","3","middle",35,2.57995937711578,-1.02857142857143
"average.696a97da7648c7e49fa8eb36","average","5","extreme",34,7.74672428212991,-1.08823529411765
"average.696a97da7648c7e49fa8eb36","average","5","middle",34,2.94117647058824,-1.67647058823529
"average.696a97da7648c7e49fa8eb36","average","7","extreme",34,8.44689155282966,1.17647058823529
"average.696a97da7648c7e49fa8eb36","average","7","middle",38,2.92142678972312,1.44736842105263
"average.6980f50102e1cb37d5b3464a","average","3","extreme",30,8.33930817610063,0.266666666666667
"average.6980f50102e1cb37d5b3464a","average","3","middle",40,2.99316037735849,0.15
"average.6980f50102e1cb37d5b3464a","average","5","extreme",37,7.93357980622132,1.81081081081081
"average.6980f50102e1cb37d5b3464a","average","5","middle",34,2.84239733629301,1.52941176470588
"average.6980f50102e1cb37d5b3464a","average","7","extreme",38,8.21052631578947,1.92105263157895
"average.6980f50102e1cb37d5b3464a","average","7","middle",33,2.51243567753002,1.36363636363636
"average.69854f587004c7ca1ef67ab5","average","3","extreme",32,7.77857142857143,-0.03125
"average.69854f587004c7ca1ef67ab5","average","3","middle",37,2.87528957528958,-0.513513513513514
"average.69854f587004c7ca1ef67ab5","average","5","extreme",35,8.02244897959184,1.28571428571429
"average.69854f587004c7ca1ef67ab5","average","5","middle",34,2.40252100840336,-0.61764705882353
"average.69854f587004c7ca1ef67ab5","average","7","extreme",36,8.51507936507937,2.94444444444444
"average.69854f587004c7ca1ef67ab5","average","7","middle",36,2.92936507936508,0.5
"average.69864918d688ba39aab5c4a9","average","3","extreme",35,7.91872399445215,-0.342857142857144
"average.69864918d688ba39aab5c4a9","average","3","middle",34,2.68560822387207,0.764705882352941
"average.69864918d688ba39aab5c4a9","average","5","extreme",33,8.33598117093263,1.51515151515151
"average.69864918d688ba39aab5c4a9","average","5","middle",33,2.84377758164166,0.727272727272728
"average.69864918d688ba39aab5c4a9","average","7","extreme",33,7.97234480729626,3.18181818181818
"average.69864918d688ba39aab5c4a9","average","7","middle",38,2.87020950434338,0.868421052631579
"average.698a3d827015c99ab3f87957","average","3","extreme",36,8.16666666666667,3.11111111111111
"average.698a3d827015c99ab3f87957","average","3","middle",34,2.96524064171123,1.58823529411765
"average.698a3d827015c99ab3f87957","average","5","extreme",33,8.1763085399449,2.48484848484849
"average.698a3d827015c99ab3f87957","average","5","middle",36,2.56565656565657,2.11111111111111
"average.698a3d827015c99ab3f87957","average","7","extreme",34,8.00802139037433,3.11764705882353
"average.698a3d827015c99ab3f87957","average","7","middle",36,2.97474747474747,1.75
"average.699288bfa36a91c33ada5723","average","3","extreme",36,7.91837809373354,-0.416666666666666
"average.699288bfa36a91c33ada5723","average","3","middle",35,2.9906567366283,2.08571428571429
"average.699288bfa36a91c33ada5723","average","5","extreme",31,8.31799419049075,0.709677419354838
"average.699288bfa36a91c33ada5723","average","5","middle",39,3.05492769473812,2.66666666666667
"average.699288bfa36a91c33ada5723","average","7","extreme",37,8.12962725758934,3.94594594594595
"average.699288bfa36a91c33ada5723","average","7","middle",33,2.34137584374551,1.6969696969697
"average.6998845b8b98b147215b19e5","average","3","extreme",37,8.33193757137419,-0.459459459459459
"average.6998845b8b98b147215b19e5","average","3","middle",32,2.65757042253521,-1.125
"average.6998845b8b98b147215b19e5","average","5","extreme",34,8.02941176470588,-0.323529411764706
"average.6998845b8b98b147215b19e5","average","5","middle",38,2.30096367679763,-0.5
"average.6998845b8b98b147215b19e5","average","7","extreme",34,7.95028997514499,1.35294117647059
"average.6998845b8b98b147215b19e5","average","7","middle",38,3.38435878428466,-0.552631578947368
"average.699f3d1a77d51612aeaf5766","average","3","extreme",30,8.77598736176935,-3.3
"average.699f3d1a77d51612aeaf5766","average","3","middle",42,2.83615436696005,0.714285714285714
"average.699f3d1a77d51612aeaf5766","average","5","extreme",34,7.91650404237524,0.0294117647058825
"average.699f3d1a77d51612aeaf5766","average","5","middle",36,2.88888888888889,-0.277777777777778
"average.699f3d1a77d51612aeaf5766","average","7","extreme",40,7.92203791469194,0.4
"average.699f3d1a77d51612aeaf5766","average","7","middle",29,2.57378656643242,1.31034482758621
"average.699fc622b54af00bf1380eba","average","3","extreme",35,8.11320243737305,-4.22857142857143
"average.699fc622b54af00bf1380eba","average","3","middle",36,2.72998946814113,-0.222222222222223
"average.699fc622b54af00bf1380eba","average","5","extreme",31,7.73169240177343,-2.09677419354839
"average.699fc622b54af00bf1380eba","average","5","middle",39,2.68611009843237,0.102564102564103
"average.699fc622b54af00bf1380eba","average","7","extreme",38,8.49151908206535,-0.868421052631579
"average.699fc622b54af00bf1380eba","average","7","middle",32,2.92876184834123,-0.15625
"average.69a30af34cf4575fd785090b","average","3","extreme",30,8.26666666666667,-4.36666666666667
"average.69a30af34cf4575fd785090b","average","3","middle",41,2.71355912611259,-0.51219512195122
"average.69a30af34cf4575fd785090b","average","5","extreme",39,8.25555960627051,-0.333333333333334
"average.69a30af34cf4575fd785090b","average","5","middle",32,2.50207345971564,-1.15625
"average.69a30af34cf4575fd785090b","average","7","extreme",33,7.83469768777826,-0.757575757575757
"average.69a30af34cf4575fd785090b","average","7","middle",36,3.08701948393892,0.694444444444445
"average.69a4b67351c86f1665010c28","average","3","extreme",30,8.1,0.7
"average.69a4b67351c86f1665010c28","average","3","middle",35,2.9586503948313,-0.714285714285714
"average.69a4b67351c86f1665010c28","average","5","extreme",37,8.06994431617547,1.56756756756757
"average.69a4b67351c86f1665010c28","average","5","middle",29,2.87385201871426,0.724137931034483
"average.69a4b67351c86f1665010c28","average","7","extreme",34,8.29618681643512,3.02941176470588
"average.69a4b67351c86f1665010c28","average","7","middle",34,2.73219036358262,-0.911764705882353
"average.69a54b53983c2fc21935a276","average","3","extreme",35,7.92773109243698,-2.77142857142857
"average.69a54b53983c2fc21935a276","average","3","middle",36,2.18464052287582,-2.52777777777778
"average.69a54b53983c2fc21935a276","average","5","extreme",26,7.83710407239819,-4.15384615384615
"average.69a54b53983c2fc21935a276","average","5","middle",42,3.26750700280112,-0.714285714285714
"average.69a54b53983c2fc21935a276","average","7","extreme",37,8.28616852146264,-1.86486486486486
"average.69a54b53983c2fc21935a276","average","7","middle",28,2.84663865546218,-3.57142857142857
"average.69aa203bc67c0093e96b9875","average","3","extreme",33,8.18224498506189,-1.18181818181818
"average.69aa203bc67c0093e96b9875","average","3","middle",38,2.56992834198171,-0.289473684210526
